"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-11","0.00","0.0","0.0",,"53","39",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-12","0.00","0.0","0.0",,"44","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-13","0.00","0.0","0.0",,"49","32",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-14","0.00","0.0","0.0",,"57","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-15","0.39","0.0","0.0",,"75","49","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-16","0.00","0.0","0.0",,"58","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-17","0.00","0.0","0.0",,"45","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-18","0.00","0.0","0.0",,"46","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-19","0.00","0.0","0.0",,"51","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-20","0.00","0.0","0.0",,"53","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-21","0.75","0.0","0.0",,"46","41","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-22","0.68","0.0","0.0",,"49","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-23","0.00","0.0","0.0",,"48","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-24","0.00","0.0","0.0",,"60","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-25","0.00","0.0","0.0",,"56","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-26","0.00","0.0","0.0",,"49","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-27","0.00","0.0","0.0",,"47","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-28","0.00","0.0","0.0",,"53","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-29","0.00","0.0","0.0",,"59","49",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-30","0.00","0.0","0.0",,"70","52",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-03-31","0.06","0.0","0.0",,"65","39",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-01","0.00","0.0","0.0",,"46","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-02","0.00","0.0","0.0",,"52","39",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-03","0.00","0.0","0.0",,"67","41",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-04","0.00","0.0","0.0",,"60","44",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-05","0.20","0.0","0.0",,"45","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-06","0.00","0.0","0.0",,"68","39","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-07","0.00","0.0","0.0",,"66","51",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-08","0.26","0.0","0.0",,"79","49","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-09","0.03","0.0","0.0",,"51","46","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-10","0.00","0.0","0.0",,"60","45","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2019-04-11","0.00","0.0","0.0",,"55","40",,,,,,
